feature,mean,std
weekend_screen_time,21.426620451234854,0.4677810886564016
daily_screen_time_hours,20.807107223589078,0.4468038553892247
notifications_per_day,12.817663885307136,0.1511257372873174
app_opens_per_day,11.367654742816034,0.21951423481775842
social_media_hours,9.83149495322524,0.27615611933910206
social_screen_share,5.019697898946415,0.15442221963152386
productive_screen_share,3.827065985627546,0.23584614905857468
gaming_screen_share,2.51829078486887,0.09886137804067655
work_study_hours,1.9812465489943833,0.17230388019912235
sleep_hours,1.3194675583908926,0.15509619343318032
entertainment_screen_share,1.0932771177104694,0.0631837068450696
age,0.9840169539815975,0.07327987618026031
gaming_hours,0.916014898420251,0.11256875111940928
recovery_balance,0.7876325065039615,0.252145681456787
social_media_hours__missing,0.7584843101433687,0.14496608343600398
weekend_weekday_screen_ratio,0.6964533340877673,0.16680705554059466
digital_intensity,0.6016176736563358,0.10499476053841116
notifications_per_screen_hour,0.4709479265361781,0.04716830517895432
weekend_screen_time__missing,0.44897898574446915,0.07605450968556704
weekend_weekday_screen_diff,0.4470298312441381,0.1670332802959487
opens_per_screen_hour,0.41669021006492485,0.12343051851863386
weekend_screen_sleep_ratio,0.33022691701628176,0.035532410738425786
entertainment_hours,0.30611680401404906,0.06296703395455806
notifications_per_open,0.2531139516757483,0.04134973182716223
screen_sleep_ratio,0.22979451634935963,0.06162915612121659
daily_screen_time_hours__missing,0.19566245777005334,0.13557339512516645
work_study_hours__missing,0.02188143594288149,0.009369765572269298
gender,0.021278085119423203,0.009139547304675864
notifications_per_day__missing,0.01999246073921509,0.006149850884173128
age__missing,0.01658162423199067,0.003583676588954229
stress_level,0.01626101284897547,0.004016478592856003
stress_level__missing,0.01274870129351433,0.0032871615121118267
academic_work_impact,0.01131822938962029,0.0032724753947577876
academic_work_impact__missing,0.009224590102118953,0.006481462532226489
gender__missing,0.009199070432947928,0.0028638422650650967
gaming_hours__missing,0.009146361979926475,0.004012425742931015
app_opens_per_day__missing,0.0,0.0
sleep_hours__missing,0.0,0.0
