id,fold
0,3
1,4
2,3
3,2
4,4
5,1
6,2
7,0
8,0
9,3
10,1
11,3
12,4
13,3
14,3
15,4
16,0
17,3
18,4
19,1
20,3
21,0
22,1
23,2
24,0
25,0
26,3
27,2
28,0
29,4
30,0
31,2
32,2
33,4
34,4
35,1
36,1
37,4
38,2
39,1
40,2
41,2
42,0
43,3
44,3
45,2
46,4
47,1
48,3
49,2
50,3
51,0
52,0
53,4
54,3
55,2
56,4
57,2
58,2
59,3
60,2
61,0
62,2
63,0
64,3
65,0
66,1
67,4
68,3
69,4
70,2
71,3
72,1
73,2
74,3
75,2
76,0
77,2
78,4
79,0
80,3
81,4
82,2
83,4
84,4
85,1
86,2
87,0
88,3
89,4
90,2
91,1
92,3
93,2
94,0
95,4
96,4
97,3
98,1
99,2
100,0
101,3
102,3
103,0
104,0
105,3
106,1
107,1
108,4
109,3
110,3
111,1
112,0
113,1
114,1
115,2
116,3
117,2
118,0
119,3
120,2
121,2
122,4
123,0
124,2
125,1
126,2
127,0
128,2
129,4
130,3
131,0
132,0
133,2
134,4
135,0
136,3
137,3
138,3
139,3
140,1
141,3
142,4
143,1
144,3
145,0
146,4
147,1
148,2
149,2
150,3
151,1
152,2
153,3
154,2
155,1
156,1
157,3
158,2
159,1
160,1
161,1
162,0
163,4
164,2
165,4
166,2
167,0
168,0
169,0
170,3
171,4
172,0
173,3
174,3
175,0
176,3
177,3
178,2
179,0
180,1
181,1
182,0
183,0
184,3
185,3
186,3
187,2
188,0
189,1
190,1
191,2
192,1
193,3
194,4
195,4
196,2
197,2
198,1
199,4
200,4
201,1
202,3
203,1
204,4
205,4
206,4
207,0
208,4
209,4
210,4
211,4
212,4
213,1
214,4
215,3
216,0
217,3
218,0
219,1
220,0
221,3
222,3
223,1
224,1
225,4
226,4
227,3
228,0
229,1
230,1
231,1
232,4
233,0
234,2
235,4
236,4
237,3
238,4
239,3
240,1
241,1
242,0
243,3
244,0
245,3
246,1
247,2
248,0
249,3
250,0
251,3
252,2
253,2
254,3
255,4
256,0
257,3
258,2
259,2
260,2
261,2
262,2
263,2
264,0
265,3
266,4
267,3
268,2
269,3
270,2
271,4
272,2
273,0
274,0
275,1
276,3
277,0
278,3
279,3
280,0
281,2
282,3
283,3
284,3
285,0
286,3
287,2
288,2
289,0
290,0
291,2
292,4
293,0
294,4
295,2
296,4
297,3
298,2
299,4
300,0
301,4
302,1
303,2
304,4
305,0
306,0
307,0
308,1
309,0
310,1
311,4
312,2
313,1
314,0
315,2
316,3
317,3
318,3
319,4
320,1
321,1
322,0
323,2
324,2
325,2
326,0
327,1
328,2
329,1
330,1
331,0
332,0
333,3
334,0
335,4
336,4
337,3
338,3
339,0
340,3
341,0
342,1
343,3
344,4
345,1
346,0
347,1
348,0
349,0
350,3
351,0
352,3
353,2
354,3
355,4
356,0
357,0
358,2
359,0
360,0
361,2
362,3
363,0
364,2
365,3
366,2
367,1
368,1
369,3
370,0
371,3
372,1
373,1
374,1
375,2
376,1
377,2
378,4
379,1
380,3
381,2
382,3
383,3
384,2
385,3
386,2
387,4
388,3
389,2
390,1
391,3
392,2
393,4
394,0
395,4
396,4
397,4
398,4
399,0
400,2
401,0
402,0
403,3
404,1
405,3
406,1
407,0
408,0
409,3
410,2
411,4
412,0
413,3
414,3
415,4
416,4
417,0
418,3
419,1
420,2
421,2
422,3
423,1
424,0
425,3
426,2
427,0
428,1
429,4
430,0
431,1
432,1
433,0
434,1
435,0
436,4
437,3
438,3
439,2
440,4
441,0
442,2
443,1
444,0
445,0
446,3
447,4
448,1
449,0
450,2
451,1
452,3
453,3
454,3
455,4
456,0
457,3
458,1
459,3
460,4
461,2
462,3
463,1
464,3
465,2
466,2
467,4
468,0
469,4
470,3
471,4
472,4
473,2
474,4
475,1
476,2
477,0
478,1
479,1
480,1
481,1
482,2
483,3
484,1
485,4
486,2
487,2
488,4
489,0
490,0
491,1
492,3
493,0
494,1
495,1
496,2
497,3
498,1
499,1
500,3
501,1
502,3
503,0
504,2
505,0
506,1
507,4
508,2
509,3
510,0
511,3
512,4
513,1
514,3
515,4
516,0
517,0
518,1
519,2
520,3
521,0
522,3
523,0
524,1
525,2
526,4
527,1
528,3
529,0
530,0
531,4
532,1
533,1
534,4
535,2
536,3
537,3
538,3
539,2
540,3
541,3
542,0
543,2
544,4
545,1
546,0
547,2
548,0
549,2
550,2
551,0
552,0
553,2
554,0
555,3
556,1
557,0
558,1
559,3
560,2
561,0
562,1
563,0
564,3
565,1
566,4
567,3
568,2
569,1
570,1
571,2
572,4
573,1
574,1
575,2
576,2
577,3
578,2
579,2
580,4
581,0
582,1
583,0
584,4
585,1
586,4
587,1
588,2
589,4
590,2
591,1
592,3
593,3
594,4
595,0
596,3
597,2
598,4
599,0
600,2
601,1
602,1
603,0
604,4
605,2
606,1
607,2
608,2
609,0
610,1
611,1
612,4
613,1
614,1
615,0
616,3
617,0
618,1
619,3
620,0
621,3
622,4
623,4
624,2
625,3
626,0
627,0
628,2
629,2
630,0
631,3
632,0
633,1
634,3
635,4
636,2
637,2
638,3
639,0
640,1
641,1
642,4
643,1
644,1
645,3
646,4
647,2
648,2
649,1
650,0
651,3
652,4
653,1
654,3
655,3
656,0
657,2
658,3
659,1
660,3
661,3
662,3
663,3
664,4
665,0
666,3
667,0
668,3
669,1
670,0
671,4
672,1
673,2
674,4
675,2
676,1
677,1
678,3
679,1
680,2
681,4
682,0
683,2
684,1
685,1
686,2
687,4
688,0
689,1
690,4
691,0
692,2
693,3
694,1
695,2
696,3
697,4
698,1
699,0
700,2
701,1
702,4
703,2
704,4
705,0
706,4
707,2
708,2
709,3
710,1
711,3
712,0
713,0
714,4
715,1
716,3
717,4
718,1
719,2
720,3
721,4
722,2
723,3
724,4
725,3
726,4
727,3
728,0
729,1
730,1
731,0
732,3
733,0
734,2
735,4
736,1
737,4
738,0
739,2
740,0
741,0
742,0
743,0
744,2
745,0
746,2
747,2
748,4
749,4
750,3
751,1
752,0
753,2
754,0
755,0
756,3
757,4
758,1
759,3
760,2
761,1
762,4
763,2
764,2
765,2
766,3
767,4
768,4
769,2
770,3
771,2
772,2
773,4
774,1
775,0
776,4
777,3
778,4
779,4
780,0
781,1
782,3
783,1
784,1
785,3
786,1
787,4
788,2
789,3
790,0
791,1
792,2
793,3
794,3
795,3
796,0
797,2
798,3
799,4
800,1
801,2
802,3
803,2
804,4
805,4
806,1
807,2
808,2
809,4
810,2
811,4
812,3
813,1
814,1
815,4
816,3
817,4
818,3
819,4
820,4
821,0
822,3
823,4
824,4
825,3
826,3
827,2
828,2
829,2
830,3
831,2
832,0
833,2
834,1
835,4
836,2
837,0
838,0
839,2
840,0
841,1
842,2
843,4
844,4
845,1
846,1
847,0
848,4
849,2
850,1
851,3
852,0
853,4
854,3
855,4
856,1
857,0
858,0
859,2
860,4
861,0
862,3
863,2
864,1
865,3
866,2
867,3
868,4
869,1
870,3
871,4
872,2
873,1
874,0
875,1
876,0
877,3
878,2
879,1
880,1
881,0
882,3
883,0
884,2
885,1
886,2
887,4
888,4
889,2
890,3
891,3
892,2
893,2
894,2
895,3
896,1
897,4
898,3
899,3
900,4
901,4
902,0
903,1
904,4
905,4
906,0
907,0
908,2
909,4
910,0
911,1
912,1
913,1
914,3
915,2
916,3
917,3
918,1
919,3
920,4
921,3
922,2
923,3
924,4
925,4
926,1
927,2
928,3
929,0
930,4
931,2
932,3
933,3
934,3
935,2
936,1
937,1
938,2
939,4
940,0
941,4
942,4
943,2
944,4
945,2
946,2
947,1
948,0
949,1
950,1
951,2
952,2
953,4
954,1
955,1
956,3
957,3
958,1
959,3
960,1
961,0
962,2
963,4
964,3
965,4
966,2
967,3
968,2
969,0
970,0
971,4
972,1
