feature,mean,std
notifications_per_day,9902.0,201.8018830437417
app_opens_per_day,8586.4,129.15417143863368
weekend_screen_time,6112.2,175.66644528765295
daily_screen_time_hours,4728.6,118.95713513698966
sleep_hours,4550.0,149.80654191322887
productive_screen_share,4489.0,61.99596761080512
work_study_hours,4458.0,72.57065522647565
social_media_hours,4389.8,103.07861077837634
social_screen_share,3700.2,61.034416520517354
gaming_hours,3583.2,40.121066785418364
gaming_screen_share,3529.4,116.97563848938799
notifications_per_open,2964.4,63.362449447602586
entertainment_screen_share,2950.4,35.13260593807409
age,2920.2,76.11635829439028
weekend_screen_sleep_ratio,2790.4,73.26527144561739
notifications_per_screen_hour,2719.8,48.981629209327046
opens_per_screen_hour,2679.6,63.551553875574115
digital_intensity,2398.4,33.10286996621291
entertainment_hours,2320.0,59.974994789495405
weekend_weekday_screen_diff,2242.4,68.99855070941709
weekend_weekday_screen_ratio,2036.6,64.69389461147011
recovery_balance,1912.8,54.54081040835387
screen_sleep_ratio,1884.0,57.848941217622965
stress_level_High,235.4,42.477052628448696
academic_work_impact_No,233.6,13.126309458488322
academic_work_impact_Yes,224.2,25.341665296503308
gender_Female,211.8,19.40876090841453
gender_Male,209.4,18.22909761891685
gender_Other,202.6,19.85698869416005
stress_level_Low,185.4,21.208488866489287
stress_level_Medium,185.0,11.661903789690603
stress_level__missing,86.6,15.9311016568221
academic_work_impact__missing,60.2,5.263078946776307
gender__missing,41.4,4.335896677735759
stress_level_Missing,15.8,4.207136793592526
weekend_screen_time__missing,10.6,4.03732584763727
academic_work_impact_Missing,10.6,2.701851217221259
social_media_hours__missing,9.4,2.1908902300206643
gender_Missing,6.6,1.9493588689617927
age__missing,6.4,3.5071355833500366
work_study_hours__missing,5.4,0.5477225575051661
gaming_hours__missing,4.6,1.949358868961793
app_opens_per_day__missing,3.0,1.224744871391589
notifications_per_day__missing,2.6,1.816590212458495
sleep_hours__missing,2.2,2.16794833886788
daily_screen_time_hours__missing,1.4,1.1401754250991378
