feature,mean,std
notifications_per_day,8002.6,198.1194084384465
app_opens_per_day,7039.6,131.77556677927808
weekend_screen_time,4497.8,103.04950266740735
sleep_hours,3630.4,72.53137252251602
daily_screen_time_hours,3386.8,59.230059935813
work_study_hours,3278.4,80.12053419692107
productive_screen_share,3147.0,76.21351586168953
social_media_hours,3051.0,35.47534355013352
age,2532.8,43.25736931437233
social_screen_share,2465.0,45.656324863046045
gaming_hours,2460.4,33.004545141540746
gaming_screen_share,2450.0,57.42821606144492
notifications_per_open,2096.8,57.4952171923891
digital_intensity__median_imputed,2013.4,53.98888774553516
entertainment_screen_share,1989.6,49.05914797466419
productive_screen_share__median_imputed,1874.8,61.161262249891465
notifications_per_screen_hour,1804.2,47.03403023343843
weekend_screen_sleep_ratio,1795.8,44.829677670043516
opens_per_screen_hour,1754.0,18.0
social_screen_share__median_imputed,1722.6,38.57849141685041
entertainment_screen_share__median_imputed,1711.6,73.20724007910695
gaming_screen_share__median_imputed,1525.4,133.0311993481229
digital_intensity,1499.2,54.343352859388396
entertainment_hours,1480.0,52.21110992882645
weekend_weekday_screen_diff,1472.4,29.6192504969319
notifications_per_day__median_imputed,1341.4,178.82896857053112
weekend_weekday_screen_ratio,1305.6,54.12300804648613
notifications_per_open__median_imputed,1246.6,29.005171952601856
weekend_screen_sleep_ratio__median_imputed,1214.0,71.84358008896828
recovery_balance,1194.8,50.04198237480206
screen_sleep_ratio,1141.8,33.402095742632696
opens_per_screen_hour__median_imputed,1139.8,36.7518707006868
entertainment_hours__median_imputed,1123.2,57.364623244644434
notifications_per_screen_hour__median_imputed,1110.0,18.411952639521946
weekend_weekday_screen_diff__median_imputed,978.2,56.87442307399697
app_opens_per_day__median_imputed,963.8,32.99545423236358
weekend_weekday_screen_ratio__median_imputed,920.2,57.77283098481499
recovery_balance__median_imputed,770.4,50.90481313196228
screen_sleep_ratio__median_imputed,762.0,67.00746227100382
weekend_screen_time__median_imputed,744.2,108.83335885655649
daily_screen_time_hours__median_imputed,621.4,93.35577111244918
work_study_hours__median_imputed,540.4,86.95286079250066
sleep_hours__median_imputed,512.2,57.47782180980765
gaming_hours__median_imputed,458.4,32.36201477040637
social_media_hours__median_imputed,450.0,37.36308338453881
age__median_imputed,301.4,25.938388538997565
missing_count,269.2,10.616025621672172
academic_work_impact_No,204.8,26.470738561664653
stress_level_High,202.4,31.70646621747684
academic_work_impact_Yes,197.6,12.837445228704969
numeric_missing_count,194.4,16.501515081955354
gender_Male,182.4,17.896927110540513
gender_Female,178.2,17.683325479106017
gender_Other,170.0,13.0
stress_level_Medium,168.8,8.555699854482976
stress_level_Low,140.4,19.806564568344506
core_screen_missing_count,85.2,10.353743284435827
stress_level__missing,81.2,5.215361924162118
academic_work_impact__missing,51.2,9.57601169589929
gender__missing,31.6,5.319774431308154
stress_level_Missing,12.4,2.9664793948382657
academic_work_impact_Missing,8.8,2.588435821108957
gender_Missing,5.8,3.492849839314596
age__missing,5.4,2.0736441353327724
social_media_hours__missing,4.0,2.5495097567963922
work_study_hours__missing,3.2,2.7748873851023217
gaming_hours__missing,3.0,2.1213203435596424
app_opens_per_day__missing,2.2,1.3038404810405297
notifications_per_day__missing,2.2,1.0954451150103324
weekend_screen_time__missing,2.0,1.224744871391589
sleep_hours__missing,1.2,0.4472135954999579
daily_screen_time_hours__missing,1.0,1.0
