feature,mean,std
notifications_per_day,9667.0,442.3403666861073
app_opens_per_day,8325.6,365.159280314769
weekend_screen_time,5923.2,289.3798541709495
daily_screen_time_hours,4613.0,148.11988387789134
sleep_hours,4365.8,282.7299064478322
work_study_hours,4331.4,407.6632188461452
productive_screen_share,4258.6,256.96458900011885
social_media_hours,4218.0,308.229622197478
social_screen_share,3498.4,241.98615662884515
gaming_hours,3473.2,268.1663662728792
gaming_screen_share,3372.6,199.97324821085442
age,2881.6,261.0111108746139
notifications_per_open,2850.0,204.2461749947842
entertainment_screen_share,2742.8,225.10375385586087
weekend_screen_sleep_ratio,2610.6,240.59779716364824
opens_per_screen_hour,2531.2,234.2972471029056
notifications_per_screen_hour,2527.6,262.8636528696959
digital_intensity,2262.4,140.48950138711436
entertainment_hours,2247.8,218.02453990319523
weekend_weekday_screen_diff,2177.4,165.11299161483325
weekend_weekday_screen_ratio,1908.4,174.5832179792777
screen_sleep_ratio,1779.0,158.62692079215307
recovery_balance,1761.4,162.83519275635717
missing_count,329.0,48.91318840558239
numeric_missing_count,241.2,27.05919437086034
academic_work_impact_No,235.6,15.773395322504285
stress_level_High,219.2,16.23884232326923
academic_work_impact_Yes,216.2,16.991174179555692
gender_Female,203.0,22.124646889837585
gender_Male,198.0,22.561028345356956
gender_Other,193.8,25.143587651725436
stress_level_Medium,181.6,23.179732526498228
stress_level_Low,165.8,22.576536492562358
core_screen_missing_count,129.8,13.255187663703596
stress_level__missing,91.0,10.862780491200217
academic_work_impact__missing,56.2,12.814054783713077
gender__missing,47.0,15.47578754054216
stress_level_Missing,13.4,5.029910535983717
academic_work_impact_Missing,10.0,2.9154759474226504
weekend_screen_time__missing,8.6,2.1908902300206643
work_study_hours__missing,8.4,3.361547262794322
social_media_hours__missing,6.4,2.3021728866442674
age__missing,6.2,4.024922359499621
gender_Missing,5.4,3.9749213828703582
gaming_hours__missing,4.4,2.0736441353327724
notifications_per_day__missing,3.0,1.5811388300841898
app_opens_per_day__missing,1.8,2.4899799195977463
sleep_hours__missing,1.6,1.3416407864998738
daily_screen_time_hours__missing,0.4,0.5477225575051662
