feature,mean,std
notifications_per_day,7876.4,92.76206121038922
app_opens_per_day,6899.8,179.40373463225333
weekend_screen_time,3946.2,116.25489237017075
sleep_hours,3547.2,102.7774294288391
daily_screen_time_hours,3138.2,101.68431540803134
social_media_hours,2577.8,36.67696824984311
productive_screen_share,2543.4,33.80532502432124
age,2341.8,84.41978441100171
weekend_screen_time__semantic_imputed,2340.2,74.19029586138606
work_study_hours,2331.2,74.89793054550978
gaming_hours,2164.4,54.21070005082022
gaming_screen_share,2069.0,92.28488500290827
social_screen_share__semantic_imputed,2065.0,84.60791925109616
social_screen_share,2052.8,122.25465226321654
notifications_per_open,2027.0,80.41455092208128
entertainment_screen_share,1834.2,34.14967056942133
productive_screen_share__semantic_imputed,1830.0,59.76202807803632
weekend_screen_sleep_ratio,1790.8,13.700364958642531
digital_intensity__semantic_imputed,1789.8,76.80950462019656
gaming_screen_share__semantic_imputed,1785.2,47.788073826008095
notifications_per_screen_hour,1773.2,41.721696993291125
social_media_hours__semantic_imputed,1758.0,37.58324094593227
opens_per_screen_hour,1721.6,54.12762695703551
entertainment_screen_share__semantic_imputed,1653.0,54.207932998777935
daily_screen_time_hours__semantic_imputed,1631.6,49.77750495956987
digital_intensity,1526.6,54.468339427597755
entertainment_hours,1459.8,81.35232018817902
weekend_weekday_screen_diff,1332.8,26.76191323504354
notifications_per_day__semantic_imputed,1298.4,14.188023118109127
app_opens_per_day__semantic_imputed,1197.4,132.53037387708522
weekend_weekday_screen_ratio,1195.2,33.93670579181191
notifications_per_open__semantic_imputed,1187.8,43.205323746038545
opens_per_screen_hour__semantic_imputed,1180.4,31.341665558805293
weekend_screen_sleep_ratio__semantic_imputed,1173.4,49.72222842954647
recovery_balance,1172.2,37.811373950175344
entertainment_hours__semantic_imputed,1150.6,19.692638218379948
screen_sleep_ratio,1140.2,35.351096164051256
gaming_hours__semantic_imputed,1139.0,50.363677387577646
notifications_per_screen_hour__semantic_imputed,1126.6,69.43198110381121
weekend_weekday_screen_diff__semantic_imputed,1095.6,41.530711527735704
work_study_hours__semantic_imputed,1040.0,101.42731387550397
weekend_weekday_screen_ratio__semantic_imputed,906.8,66.26990267082033
recovery_balance__semantic_imputed,869.6,41.19830093583956
screen_sleep_ratio__semantic_imputed,805.6,17.700282483621557
sleep_hours__semantic_imputed,530.8,35.05281729048324
age__semantic_imputed,308.4,11.844830095868826
academic_work_impact_No,197.2,7.529940238806678
academic_work_impact_Yes,187.4,9.449867723941962
gender_Male,182.4,17.052858997833766
stress_level_High,181.0,16.09347693943108
gender_Other,156.2,17.838161340227867
gender_Female,152.6,22.755219181541626
stress_level_Medium,146.8,12.477980605851258
stress_level_Low,127.4,7.402702209328698
stress_level__missing,75.2,5.06951674225463
academic_work_impact__missing,48.8,2.1679483388678795
gender__missing,34.0,8.366600265340756
social_media_hours__missing,12.8,3.7682887362833544
stress_level_Missing,10.8,3.70135110466435
academic_work_impact_Missing,8.4,1.9493588689617927
weekend_screen_time__missing,7.6,4.09878030638384
gender_Missing,6.0,1.4142135623730951
age__missing,5.6,2.701851217221259
app_opens_per_day__missing,5.0,2.449489742783178
notifications_per_day__missing,4.6,2.073644135332772
gaming_hours__missing,3.8,3.03315017762062
work_study_hours__missing,3.2,1.4832396974191326
sleep_hours__missing,2.8,1.3038404810405297
daily_screen_time_hours__missing,1.4,1.3416407864998738
