segment,rows,positive_rate,auc
missing_count_0,269185,0.7081226665676023,0.9722926218157478
missing_count_1,180459,0.7089699045212486,0.9687742790677157
missing_count_2,120697,0.7111775769074625,0.960921475700408
missing_count_3,67328,0.7117841017110266,0.9487196987923432
missing_count_4plus,53700,0.7105772811918063,0.9234863429328775
age__missing,28929,0.713401776763801,0.9613304878442337
daily_screen_time_hours__missing,95854,0.711300519540134,0.933157931558557
social_media_hours__missing,133995,0.7094145303929251,0.9435776762541223
gaming_hours__missing,126821,0.7105053579454507,0.9522374416174347
work_study_hours__missing,51518,0.7106448231686012,0.9580456527153318
sleep_hours__missing,44480,0.7133767985611511,0.9613953659132272
notifications_per_day__missing,67584,0.7102420691287878,0.9490602473586529
app_opens_per_day__missing,80710,0.7127865196382108,0.9515237063636605
weekend_screen_time__missing,112063,0.7106538286499559,0.9419333465039559
gender__missing,29034,0.7087896948405318,0.9609745962027914
stress_level__missing,55148,0.7090012330456227,0.9607317824340279
academic_work_impact__missing,44224,0.7094564037626628,0.9617221858925881
