model,feature,mean,std
native,notifications_per_day,9902.0,201.80188
native,app_opens_per_day,8586.6,128.99147
native,weekend_screen_time,6112.2,175.66644
native,daily_screen_time_hours,4729.0,120.23934
native,sleep_hours,4550.0,149.89996
native,productive_screen_share,4489.0,61.995968
native,work_study_hours,4458.0,72.570656
native,social_media_hours,4389.8,103.07861
native,social_screen_share,3700.2,61.034416
native,gaming_hours,3583.2,40.121067
native,gaming_screen_share,3529.4,116.97564
native,notifications_per_open,2964.2,63.156155
native,entertainment_screen_share,2950.4,35.132607
native,age,2920.0,76.2922
native,weekend_screen_sleep_ratio,2790.6,73.37779
native,notifications_per_screen_hour,2719.0,49.396355
native,opens_per_screen_hour,2679.8,63.2906
native,digital_intensity,2398.4,33.10287
native,entertainment_hours,2320.0,59.974995
native,weekend_weekday_screen_diff,2242.2,68.852745
native,weekend_weekday_screen_ratio,2037.2,64.2783
native,recovery_balance,1912.6,54.802372
native,screen_sleep_ratio,1884.0,57.84894
native,stress_level_High,235.4,42.47705
native,academic_work_impact_No,233.4,12.778889
native,academic_work_impact_Yes,224.4,25.58906
native,gender_Female,211.8,19.40876
native,gender_Male,209.4,18.229097
native,gender_Other,202.6,19.856989
native,stress_level_Low,185.4,21.208488
native,stress_level_Medium,185.0,11.661903
native,stress_level__missing,86.8,15.674821
native,academic_work_impact__missing,61.0,4.7434163
native,gender__missing,41.8,3.4928498
native,stress_level_Missing,15.6,4.159327
native,weekend_screen_time__missing,10.6,4.037326
native,academic_work_impact_Missing,9.8,3.4205263
native,social_media_hours__missing,9.4,2.1908903
native,age__missing,6.6,3.7815342
native,gender_Missing,6.2,1.7888544
native,work_study_hours__missing,5.4,0.5477226
native,gaming_hours__missing,4.6,1.9493588
native,app_opens_per_day__missing,2.8,1.3038405
native,notifications_per_day__missing,2.6,1.8165902
native,sleep_hours__missing,2.2,2.1679482
native,daily_screen_time_hours__missing,1.4,1.1401755
semantic,notifications_per_day,9143.8,703.36847
semantic,app_opens_per_day,8028.4,571.353
semantic,weekend_screen_time,4797.4,584.8387
semantic,sleep_hours,4606.4,642.4611
semantic,daily_screen_time_hours,3671.8,384.6839
semantic,productive_screen_share,3334.0,478.94885
semantic,social_media_hours,3323.2,440.37393
semantic,work_study_hours,3150.2,471.9944
semantic,age,3147.8,503.69653
semantic,gaming_hours,2898.4,450.95654
semantic,weekend_screen_time__semantic_imputed,2823.4,239.17421
semantic,notifications_per_open,2806.6,499.94528
semantic,gaming_screen_share,2704.2,301.0045
