model,segment,rows,auc
native,missing_count_0,269185,0.9719777967349392
native,missing_count_1,180459,0.9680850626773772
native,missing_count_2,120697,0.9602844275669564
native,missing_count_3,67328,0.9479837741944136
native,missing_count_4plus,53700,0.9229526431995208
native,age__missing,28929,0.9604836887699232
native,daily_screen_time_hours__missing,95854,0.932189139509294
native,social_media_hours__missing,133995,0.9430979194693608
native,gaming_hours__missing,126821,0.9517374419798688
native,work_study_hours__missing,51518,0.9577230284063031
native,sleep_hours__missing,44480,0.9607843746518487
native,notifications_per_day__missing,67584,0.9481085781137921
native,app_opens_per_day__missing,80710,0.950567387852558
native,weekend_screen_time__missing,112063,0.9413211207080583
native,gender__missing,29034,0.960457395881829
native,stress_level__missing,55148,0.9599104205924426
native,academic_work_impact__missing,44224,0.9609208659951215
semantic,missing_count_0,269185,0.9723698708955109
semantic,missing_count_1,180459,0.9688638655149177
semantic,missing_count_2,120697,0.9610296696982501
semantic,missing_count_3,67328,0.948944103802435
semantic,missing_count_4plus,53700,0.9236679603392915
semantic,age__missing,28929,0.9614915746018264
semantic,daily_screen_time_hours__missing,95854,0.9334659206794496
semantic,social_media_hours__missing,133995,0.9437941063648208
semantic,gaming_hours__missing,126821,0.9523700011779076
semantic,work_study_hours__missing,51518,0.9581965404192545
semantic,sleep_hours__missing,44480,0.9614861187050522
semantic,notifications_per_day__missing,67584,0.9491692953472497
semantic,app_opens_per_day__missing,80710,0.9516204129911393
semantic,weekend_screen_time__missing,112063,0.9420869046932357
semantic,gender__missing,29034,0.9610146144917759
semantic,stress_level__missing,55148,0.9608359862866643
semantic,academic_work_impact__missing,44224,0.9617776744217775
xgboost,missing_count_0,269185,0.972921706725457
xgboost,missing_count_1,180459,0.9693952915074308
xgboost,missing_count_2,120697,0.9614833297798531
xgboost,missing_count_3,67328,0.9494091083145526
xgboost,missing_count_4plus,53700,0.9240138745692626
xgboost,age__missing,28929,0.9619556015943881
xgboost,daily_screen_time_hours__missing,95854,0.9343034534174199
xgboost,social_media_hours__missing,133995,0.9443290795523969
xgboost,gaming_hours__missing,126821,0.9528412483719737
xgboost,work_study_hours__missing,51518,0.9587732287033469
xgboost,sleep_hours__missing,44480,0.9617561720989047
xgboost,notifications_per_day__missing,67584,0.9495143796701889
xgboost,app_opens_per_day__missing,80710,0.9519195675788565
xgboost,weekend_screen_time__missing,112063,0.9424099935012408
xgboost,gender__missing,29034,0.961348574383657
xgboost,stress_level__missing,55148,0.9613139880231429
xgboost,academic_work_impact__missing,44224,0.9623001340423969
blend,missing_count_0,269185,0.9730255275859455
blend,missing_count_1,180459,0.969509199679443
blend,missing_count_2,120697,0.9616867153064015
blend,missing_count_3,67328,0.9496807209138309
blend,missing_count_4plus,53700,0.9244514806464509
blend,age__missing,28929,0.9621212526764561
blend,daily_screen_time_hours__missing,95854,0.9345390694899736
blend,social_media_hours__missing,133995,0.9446426828428036
blend,gaming_hours__missing,126821,0.9530989132620735
blend,work_study_hours__missing,51518,0.9589770444170755
blend,sleep_hours__missing,44480,0.9619997311059517
blend,notifications_per_day__missing,67584,0.9497592356517645
blend,app_opens_per_day__missing,80710,0.9521802737722886
blend,weekend_screen_time__missing,112063,0.9427516414241676
blend,gender__missing,29034,0.9615925060566959
blend,stress_level__missing,55148,0.9614953485132838
blend,academic_work_impact__missing,44224,0.9624671837980787
